id,species,accepted_name,gbif_taxon_key,family,order,common_name,growth_form,landscape_category,leaf_phenology,native_region,native_koppen,lai_mean,lai_min,lai_max,lai_sd,lai_n,lai_method,lai_context,lai_measurement_koppen,pft,tier,tier_source,urban_context,sources,notes,entry_date,data_version,ai_assisted,ai_model
62,Nardus stricta,,2702717,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",2.29,0.59,3.08,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
63,Phalaris arundinacea,,5289756,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",6.1,6.1,6.1,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
64,Phalaris arundinaceae,,5289756,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",4.17,1.81,4.86,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
65,Poa annua,,2704179,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",2.42,0.18,5.99,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
66,Scirpus sylvaticus,,2720080,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",3.38,2.25,4.75,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
67,Trisetum flavescens,,2704389,,,,graminoid,Grass,evergreen,,"Cfb,Dfb,Dfc",6.0,3.74,8.14,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
68,Filipendula ulmaria,,2987999,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.88,0.93,4.34,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
69,Geranium pratense,,2891304,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",3.92,3.22,5.42,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
70,Geranium robertianum,,2890668,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",3.71,2.68,5.25,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
71,Lamium purpureum,,2926682,,,,herb,Groundcover,evergreen,,"Cfb,Dfb,Dfc",2.21,1.09,3.39,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,TRY,Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
