id,species,common_name,mean_lai,median_lai,min_lai,max_lai,measurement_count,sources,tropical,category,canopy_form,height_mature_m,canopy_radius_mature_m,trunk_height_m,height_typical_m,canopy_radius_typical_m,min_substrate_mm,wikipedia_height_m,size_source
123,Larix cajanderi,,3.7,3.7,3.7,3.7,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
124,Nothofagus dombeyi,,3.7,3.7,3.7,3.7,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
125,Alnus sp.,,3.625,3.625,3.45,3.8,4,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
126,Eucalyptus globulus,,3.571,3.3,1.39,6.1,58,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
127,Eucalyptus microcorys,,3.557,3.9,2,5.2,14,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
128,Marquesia macroura,,3.47,3.47,3.47,3.47,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
129,Quercus pedunculiflora,,3.43,3.43,3.43,3.43,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
130,Larix decidua,,3.42,3.42,1.74,5.1,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
131,Eucalyptus grandis,,3.405,3.7,2.07,4.15,8,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
132,Eucalyptus clone (E. grandis *E. urophylla),,3.4,3.4,3.4,3.4,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
133,Betula erumani,,3.353,3.36,3.11,3.59,6,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
134,Prestoea montana,,3.3,3.3,3.3,3.3,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
135,Pinus canariensis,,3.263,3.215,3.09,3.53,8,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
136,Pinus banksiana,,3.257,2.325,1.22,11,76,"ORNL, TRY",TRUE,Tree,conical,20,4,3,13,2.6,1000,,category default
137,Eucalyptus sieberi,,3.24,3.5,1.96,4,8,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
138,Populus trichocarpa,,3.23,3.23,3.23,3.23,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
139,Pinus cembra,,3.2,3.2,2.5,3.9,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
140,Salix dasyclados,,3.2,3.2,3.2,3.2,2,"ORNL, TRY",FALSE,Tree,spreading,12,7,2,7.8,4.5,1000,,category default
141,Nothofagus nitida,,3.2,3.2,3.2,3.2,1,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
142,Combretodendron africanum,,3.16,3.16,3.16,3.16,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
143,Nothofagus betuloides,,3.155,3.155,2.58,3.73,4,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
144,Betula pendula,,3.111,3.08,0.66,5.34,68,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
145,Pinus taeda,,3.084,2.7,0.94,5.34,34,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
146,Eperua molenillo,,3.04,3.04,3.04,3.04,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
147,Fraxinus pennsylvanica,,3,3,3,3,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
148,Picea,,2.97,2.97,2.97,2.97,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
149,Eucalyptus fastigata,,2.93,2.93,2.93,2.93,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
150,Populus tremula,,2.91,2.64,2.43,4.22,24,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
151,Quercus liaotungensis,,2.9,2.9,2.9,2.9,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
152,Carapa guianensis,,2.9,2.9,2.9,2.9,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
153,Eucryphia cordifolia,,2.9,2.9,2.1,3.7,2,TRY,FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
154,Robinia pseudoacacia,,2.89,2.89,2.89,2.89,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
155,Betula pubescens,,2.83,2.67,0.76,5.12,40,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
156,Eucalyptus grandis * urophylla (mono clonal),,2.8,3,2.4,3,6,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
157,Picea obovata,,2.8,2.8,2.8,2.8,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
158,Populus tremuloides,,2.775,2.59,0.37,6.6,114,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
159,Alnus incana,,2.773,2.35,0.62,5.43,24,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
160,Quercus pubescens,,2.757,2.73,2.54,3,6,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
161,Eucalyptus saligna,,2.697,2.385,1.46,5.18,20,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
162,Eucalyptus obliqua,,2.657,1.34,1.23,5.4,6,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
163,Tabebuia rigida,,2.62,2.62,1.99,3.25,4,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
164,Populus fremontii,,2.6,2.6,2.6,2.6,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
165,Quercus frainetto,,2.562,2.7,2.1,2.8,16,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
166,Eucalyptus diversicolor,,2.55,1.95,1.3,5,8,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
167,Larix principis-rupprechtii,,2.54,2.54,2.54,2.54,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
168,Toona ciliata,,2.5,2.45,2.1,2.9,12,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
169,Pinus caribaea,,2.5,2.5,2.5,2.5,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
170,Pinus elliottii,,2.47,2.47,2.47,2.47,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
171,Populus grandidentata,,2.43,2.43,2.43,2.43,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
172,Populus davidiana,,2.37,2.37,2.37,2.37,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
173,Quercus pyrenaica,,2.352,2.205,1.8,3.4,12,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
174,Eucalyptus grandis hybrids,,2.3,2.3,2.3,2.3,2,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
175,Betula platyphylla,,2.3,2.3,1.1,3.5,4,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
176,Pinus patula,,2.295,2.295,2.13,2.46,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
177,Eucalyptus grandis * camaldulensis hybrid,,2.291,2.235,1.18,3.95,24,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
178,Pinus tabulaeformis,,2.28,2.28,2.28,2.28,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
179,Nothofagus glauca,,2.27,2.12,2.06,2.63,6,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
180,Betula,,2.27,2.27,2.27,2.27,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
